epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3210.86,0.75541,2.51508,0.91476,0.59929,0.21069,0.21738,0.17951,0.76255,2.87646,0.90358,5.35766e-05,5.35766e-05,5.35766e-05
2,6140.09,0.736,2.10959,0.90743,0.65686,0.26845,0.31891,0.26196,0.76535,2.59389,0.90443,5.41579e-05,5.41579e-05,5.41579e-05
